染料_1,濃度_1,染料_2,濃度_2,染料_3,濃度_3,染料_4,濃度_4,布號,delta_lab
244-4,0.3213,264-1,0.4820,322-6,0.4610,,,FVF2184,0.0076
227-1,0.5511,244-4,0.3621,264-1,0.5788,,,FVF2184,0.0078
249-6,0.2135,264-1,0.4070,322-6,0.3922,,,FVF2184,0.01
227-1,0.3697,249-6,0.1598,F6S,0.5880,,,FVF2184,0.0163
244-4,0.3954,264-1,0.5597,327,0.5979,,,FVF2184,0.0197
249-6,0.1359,322-6,0.3444,461-9,0.5990,,,FVF2184,0.0278
227-1,0.4491,244-4,0.3056,F6S,0.7883,,,FVF2184,0.0283
227-1,0.4037,249-6,0.1354,461-9,0.6871,,,FVF2184,0.0291
227-1,0.3894,461-9,0.6811,F4U-7,0.1198,,,FVF2184,0.0534
249-6,0.1033,327,0.4076,461-9,0.6191,,,FVF2184,0.0547
