染料_1,濃度_1,染料_2,濃度_2,染料_3,濃度_3,染料_4,濃度_4,布號,delta_lab
322-6,0.6059,461-9,1.2594,462-9,0.8526,,,FVF2666,0.0504
322-6,0.4689,462-9,0.5381,F6S,1.1755,,,FVF2666,0.0978
261-8,0.0100,264-1,2.1383,322-6,0.9626,,,FVF2666,0.1638
264-1,2.1118,322-6,0.9545,,,,,FVF2666,0.2963
264-1,1.6277,327,0.9946,462-9,0.6528,,,FVF2666,0.3735
264-1,1.8737,322-6,0.9339,461-9,0.2844,,,FVF2666,0.5251
264-1,2.1296,327,1.0849,,,,,FVF2666,0.9063
264-1,1.2744,322-6,0.7375,F6S,0.6403,,,FVF2666,1.6715
264-1,1.4384,327,0.8860,F6S,0.5322,,,FVF2666,2.4174
227-1,0.9814,264-1,1.9681,,,,,FVF2666,2.4976
