染料_1,濃度_1,染料_2,濃度_2,染料_3,濃度_3,染料_4,濃度_4,布號,delta_lab
F24-3,0.3566,F4X-9,0.0996,,,,,FVF2184,21.9562
F24-3,0.4373,F4S-9,0.0634,,,,,FVF2184,23.2252
244-1,0.0118,F24-3,0.4527,,,,,FVF2184,25.417
228-1,0.4902,F4X-9,0.1577,,,,,FVF2184,27.2806
228-1,0.7604,F4S-9,0.0100,,,,,FVF2184,28.3112
228-1,0.7613,244-1,0.0100,,,,,FVF2184,28.539
432,0.3919,F4X-9,0.1125,,,,,FVF2184,32.0353
244-1,0.0100,432,0.9187,,,,,FVF2184,32.1694
432,0.4823,F4S-9,0.0698,,,,,FVF2184,32.4638
