染料_1,濃度_1,染料_2,濃度_2,染料_3,濃度_3,染料_4,濃度_4,布號,delta_lab
249-6,0.2281,264-1,0.4360,327,0.4769,,,FVF2184,0.0057
244-4,0.3213,264-1,0.4821,322-6,0.4610,,,FVF2184,0.0074
227-1,0.5510,244-4,0.3620,264-1,0.5789,,,FVF2184,0.0076
249-6,0.1502,322-6,0.3104,F6S,0.4978,,,FVF2184,0.0101
249-6,0.1544,327,0.3740,F6S,0.5385,,,FVF2184,0.0103
249-6,0.1359,322-6,0.3442,461-9,0.5984,,,FVF2184,0.0172
227-1,0.4034,249-6,0.1353,461-9,0.6865,,,FVF2184,0.021
244-4,0.2097,322-6,0.3573,F6S,0.5966,,,FVF2184,0.0298
227-1,0.3891,461-9,0.6804,F4U-7,0.1198,,,FVF2184,0.0432
322-6,0.3322,461-9,0.5999,F4U-7,0.0943,,,FVF2184,0.0759
