染料_1,濃度_1,染料_2,濃度_2,染料_3,濃度_3,染料_4,濃度_4,布號,delta_lab
244-4,0.3952,264-1,0.5594,327,0.5974,,,FVF2184,0.0123
264-1,0.4187,327,0.4398,F4U-7,0.1778,,,FVF2184,0.0134
327,0.3985,461-9,0.6225,F4U-7,0.0774,,,FVF2184,0.0135
249-6,0.1542,327,0.3733,F6S,0.5378,,,FVF2184,0.0137
249-6,0.1359,322-6,0.3442,461-9,0.5984,,,FVF2184,0.0183
227-1,0.4499,244-4,0.2221,461-9,0.7981,,,FVF2184,0.0223
227-1,0.4653,249-6,0.2115,264-1,0.4824,,,FVF2184,0.0259
227-1,0.3887,461-9,0.6794,F4U-7,0.1198,,,FVF2184,0.0293
322-6,0.2884,F4U-7,0.1024,F6S,0.4816,,,FVF2184,0.0474
322-6,0.3327,461-9,0.6010,F4U-7,0.0943,,,FVF2184,0.0933
