染料_1,濃度_1,染料_2,濃度_2,染料_3,濃度_3,染料_4,濃度_4,布號,delta_lab
F24-3,0.3566,F4X-9,0.0995,,,,,FVF2184,21.9563
F24-3,0.4373,F4S-9,0.0633,,,,,FVF2184,23.2263
244-1,0.0164,F24-3,0.4244,,,,,FVF2184,24.8586
228-1,0.4900,F4X-9,0.1579,,,,,FVF2184,27.281
228-1,0.7596,F4S-9,0.0100,,,,,FVF2184,28.3117
228-1,0.7620,244-1,0.0100,,,,,FVF2184,28.5385
244-1,0.0100,432,0.8765,,,,,FVF2184,31.6893
432,0.3698,F4X-9,0.1193,,,,,FVF2184,31.8046
432,0.4452,F4S-9,0.0798,,,,,FVF2184,32.6795
