染料_1,濃度_1,染料_2,濃度_2,染料_3,濃度_3,染料_4,濃度_4,布號,delta_lab
F24-3,0.6889,F4S-9,0.1079,,,,,FVF2184,14.0742
F24-3,0.5916,F4X-9,0.1297,,,,,FVF2184,14.1204
244-1,0.0275,F24-3,1.2616,,,,,FVF2184,18.4166
228-1,0.7470,F4X-9,0.1060,,,,,FVF2184,24.1404
228-1,1.4908,244-1,0.0100,,,,,FVF2184,24.5519
228-1,1.2281,F4S-9,0.0100,,,,,FVF2184,24.5612
432,0.8811,F4S-9,0.0359,,,,,FVF2184,26.4142
432,0.5804,F4X-9,0.0945,,,,,FVF2184,28.6997
244-1,0.0100,432,2.7373,,,,,FVF2184,34.3236
