染料_1,濃度_1,染料_2,濃度_2,染料_3,濃度_3,染料_4,濃度_4,布號,delta_lab
244-4,1.1029,264-1,0.0615,327,2.7512,,,FVF2666,1.1921
249-6,0.8036,327,2.5880,F6B-6,0.0114,,,FVF2666,1.3767
249-6,0.8154,327,2.6360,F6B-7,0.0087,,,FVF2666,1.4243
244-4,0.8952,322-6,2.5330,F6B-7,0.1662,,,FVF2666,1.7072
244-4,0.8607,322-6,2.4737,F6B-6,0.2292,,,FVF2666,1.7596
244-4,0.9992,264-1,0.1025,322-6,2.7622,,,FVF2666,2.0274
227-1,2.3431,F4U-7,0.4300,F6B-7,0.0962,,,FVF2666,2.0648
227-1,2.3098,F4U-7,0.4421,F6B-6,0.1324,,,FVF2666,2.1138
249-6,0.5965,264-1,0.0676,322-6,2.7883,,,FVF2666,3.2954
264-1,0.1111,322-6,2.7133,F4U-7,0.4068,,,FVF2666,3.4225
