染料_1,濃度_1,染料_2,濃度_2,染料_3,濃度_3,染料_4,濃度_4,布號,delta_lab
432,3.0000,F4I,2.9957,F6S,2.5969,,,FVF2666,13.4142
142,2.4533,432,3.0000,461-9,3.0000,,,FVF2666,13.5156
228-1,3.0000,461-9,2.4351,F51-5,3.0000,,,FVF2666,13.7084
228-1,3.0000,F4I,3.0000,F6S,3.0000,,,FVF2666,14.0605
142,3.0000,264-1,2.7823,432,3.0000,,,FVF2666,14.2053
228-9,3.0000,F51-5,3.0000,F6S,2.2256,,,FVF2666,14.4876
228-1,3.0000,264-1,1.9356,F4I,3.0000,,,FVF2666,14.5611
142,1.6794,228-1,3.0000,F6S,3.0000,,,FVF2666,14.8691
142,1.5314,228-1,3.0000,461-9,3.0000,,,FVF2666,15.2221
142,2.8256,228-1,3.0000,264-1,2.9563,,,FVF2666,17.1657
