染料_1,濃度_1,染料_2,濃度_2,染料_3,濃度_3,染料_4,濃度_4,布號,delta_lab
228-1,2.3102,327,0.3477,F4X-9,1.0966,,,FVF2666,0.0415
223-3,0.5418,F24-3,0.9366,F4S-9,0.9939,,,FVF2666,0.0523
223-3,0.9751,432,0.2263,F4X-9,2.5650,,,FVF2666,0.3298
228-1,0.6883,322-6,1.1720,F4S-9,0.8153,,,FVF2666,1.0941
223-3,0.0100,244-1,0.4656,F24-3,2.3939,,,FVF2666,1.6028
223-3,0.7009,F24-3,0.4803,F4X-9,1.8091,,,FVF2666,4.1716
244-1,1.0355,322-6,2.2372,432,1.8294,,,FVF2666,5.3083
228-1,2.3193,244-1,1.0055,322-6,2.2073,,,FVF2666,5.7804
244-1,0.9534,327,1.6868,432,3.0000,,,FVF2666,9.9548
322-6,1.1759,432,1.3397,F4S-9,0.8938,,,FVF2666,11.4724
