染料_1,濃度_1,染料_2,濃度_2,染料_3,濃度_3,染料_4,濃度_4,布號,delta_lab
227-1,0.5508,244-4,0.3619,264-1,0.5788,,,FVF2184,0.0056
249-6,0.2281,264-1,0.4361,327,0.4768,,,FVF2184,0.0067
244-4,0.3212,264-1,0.4821,322-6,0.4608,,,FVF2184,0.0072
264-1,0.3726,322-6,0.3524,F4U-7,0.1609,,,FVF2184,0.0144
249-6,0.1359,322-6,0.3441,461-9,0.5983,,,FVF2184,0.0157
227-1,0.4486,244-4,0.3054,F6S,0.7877,,,FVF2184,0.0201
227-1,0.4036,249-6,0.1354,461-9,0.6868,,,FVF2184,0.0244
244-4,0.3957,264-1,0.5596,327,0.5983,,,FVF2184,0.0253
244-4,0.2445,327,0.4342,F6S,0.6995,,,FVF2184,0.0267
249-6,0.1023,327,0.4083,461-9,0.6218,,,FVF2184,0.1094
