染料_1,濃度_1,染料_2,濃度_2,染料_3,濃度_3,染料_4,濃度_4,布號,delta_lab
322-6,0.2607,F6B-7,1.4235,F6S,0.9485,,,FVF2666,0.0299
162,0.7441,227-1,0.3603,461-9,2.2568,,,FVF2666,0.0307
162,0.8314,227-1,0.3160,F6S,1.8134,,,FVF2666,0.035
327,0.3486,461-9,1.2039,F6B-6,2.2454,,,FVF2666,0.0424
162,0.9734,322-6,0.4004,461-9,1.9856,,,FVF2666,0.0432
227-1,0.3820,461-9,1.4863,F6B-6,2.3583,,,FVF2666,0.1734
327,0.1717,F6B-6,1.5213,F6S,0.6807,,,FVF2666,0.1862
227-1,0.1591,F6B-6,1.3922,F6S,0.8672,,,FVF2666,0.2397
227-1,0.3151,264-1,0.9138,F6B-6,2.2420,,,FVF2666,0.6234
264-1,1.1738,322-6,0.3455,F6B-6,1.8307,,,FVF2666,0.9001
