染料_1,濃度_1,染料_2,濃度_2,染料_3,濃度_3,染料_4,濃度_4,布號,delta_lab
142,0.9842,432,2.3096,F6S,1.0391,,,FVF2184,0.2365
228-1,2.4358,F4I,0.7381,F6S,0.8458,,,FVF2184,0.2824
432,2.0308,461-9,0.5837,F51-5,0.8284,,,FVF2184,0.4257
228-1,2.6364,264-1,0.4712,F51-5,0.8837,,,FVF2184,0.4376
264-1,0.3419,432,2.1495,F51-5,0.9065,,,FVF2184,0.5423
142,0.6421,228-1,2.9161,F6S,1.3561,,,FVF2184,0.5907
432,1.7110,461-9,0.5928,F4I,0.6813,,,FVF2184,0.6142
432,1.7524,F4I,0.7311,F6S,0.5172,,,FVF2184,0.8038
264-1,0.3395,432,1.8571,F4I,0.7978,,,FVF2184,0.9188
142,0.6887,228-1,3.0000,264-1,0.8773,,,FVF2184,1.197
