染料_1,濃度_1,染料_2,濃度_2,染料_3,濃度_3,染料_4,濃度_4,布號,delta_lab
227-1,2.3605,244-4,0.9863,F6B-6,0.1098,,,FVF2666,0.6825
244-4,1.0731,264-1,0.0582,327,2.6418,,,FVF2666,0.9257
227-1,2.3678,249-6,0.5233,F6B-7,0.0627,,,FVF2666,1.5477
227-1,2.4378,249-6,0.5438,F6B-6,0.0975,,,FVF2666,1.8076
249-6,0.8129,264-1,0.0100,327,2.5985,,,FVF2666,1.9986
327,2.4847,F4U-7,0.4507,F6B-7,0.1110,,,FVF2666,2.0842
244-4,1.0065,264-1,0.1034,322-6,2.7829,,,FVF2666,2.0899
227-1,2.4023,F4U-7,0.4388,F6B-7,0.1005,,,FVF2666,2.2419
249-6,0.5021,322-6,2.4230,F6B-6,0.1134,,,FVF2666,2.5445
249-6,0.5891,264-1,0.0642,322-6,2.7479,,,FVF2666,3.2367
