LAB,400nm,410nm,420nm,430nm,440nm,450nm,460nm,470nm,480nm,490nm,500nm,510nm,520nm,530nm,540nm,550nm,560nm,570nm,580nm,590nm,600nm,610nm,620nm,630nm,640nm,650nm,660nm,670nm,680nm,690nm,700nm,L,a,b,C,H,染料_1,濃度_1,染料_2,濃度_2,染料_3,濃度_3,染料_4,濃度_4,布號,標記,標準色片,單色光,revised,abort
L182NN052,69.14,70.95,71.83,72.72,73.47,74.35,76.27,78.28,80.24,81.08,81.3,81.07,80.38,79.24,77.81,75.92,73.91,71.7,69.31,66.94,64.5,61.98,59.45,57.5,56.06,55.01,54.0,53.08,52.57,52.69,54.6,88.61,-10.69,-1.69,10.83,188.97,227-1,0.0011,261-8,0.025,,,,,FVF3925,,,FVF2429,0,0
L182NN056,11.9,9.87,9.07,8.47,8.01,7.68,7.34,7.05,6.68,6.34,5.92,5.41,4.97,4.57,4.29,4.0,3.72,3.53,3.39,3.31,3.27,3.27,3.31,3.47,3.76,4.22,5.19,6.76,9.79,12.78,18.33,24.96,0.94,-14.35,14.38,273.76,432,0.332,F4I,0.38,F6S,1.71,,,FVF2666,,,FVF2666,0,0
L182NN057,21.88,20.74,20.53,20.37,19.73,18.87,17.64,16.29,14.33,12.28,10.55,8.96,7.69,6.67,5.84,5.07,4.44,3.95,3.53,3.24,3.06,2.97,2.94,3.03,3.21,3.62,4.39,5.74,8.46,11.26,16.55,30.24,3.42,-33.08,33.25,275.91,227-1,0.022,244-4,0.3,F6B-6,3.0,,,FVF2869,,,FVF2666,0,0
L182NN058,19.57,18.57,18.1,17.23,15.98,14.4,12.6,11.11,9.49,8.08,6.92,5.94,5.22,4.68,4.31,3.99,3.74,3.58,3.5,3.48,3.47,3.49,3.58,3.89,4.79,6.61,10.12,15.36,23.39,29.46,38.46,26.95,12.06,-29.32,31.7,292.36,228-1,0.12,F4I,0.98,F51-5,0.13,F6J,1.5,FVF3925,,,FVF2429,0,0
L182NN059,71.89,73.9,75.07,75.74,75.85,75.73,75.27,74.64,73.51,72.17,70.92,69.07,67.04,65.64,64.34,62.67,61.37,60.35,59.13,58.29,58.46,58.62,57.74,56.68,56.79,59.5,65.91,73.59,81.33,84.86,88.45,83.86,-2.08,-9.47,9.69,257.61,142,0.0075,162,0.022,,,,,FVF3925,,,FVF2429,0,0
L182NN060,39.12,35.7,30.12,27.84,27.14,24.69,28.87,36.2,40.15,40.22,39.44,37.42,35.36,35.08,34.99,34.11,33.11,33.89,35.18,35.77,36.45,36.75,35.95,34.85,34.9,37.56,44.58,54.23,66.08,72.72,80.76,66.13,-3.2,7.13,7.81,114.16,122,0.187,142,0.128,162,0.107,,,FVF3925,*,,FVF2429,0,0
L182NN062,13.03,11.42,10.84,10.57,10.4,10.13,9.78,9.36,8.51,7.5,6.54,5.61,4.83,4.23,3.75,3.32,3.01,2.8,2.63,2.55,2.52,2.5,2.51,2.54,2.61,2.78,3.15,3.74,5.45,7.58,12.09,24.05,1.61,-23.17,23.23,273.98,227-1,0.04,F6B-6,1.9,F6S,2.8,,,FVF2184,,,FVF2184,0,0
L182NN065,5.68,3.64,2.99,2.76,2.73,2.86,3.16,3.61,4.42,4.76,4.91,4.96,5.08,5.35,5.84,6.73,8.26,11.48,16.96,25.22,36.49,48.3,58.1,66.85,73.71,78.06,81.73,83.45,84.58,85.12,86.45,50.41,46.31,44.72,64.38,44.0,322-6,0.55,F2I,0.81,F4S-5,0.48,,,FVF5174,,,FVF2666,0,0
L182NN067,23.02,22.47,21.96,20.16,17.87,15.39,12.93,10.98,9.15,7.61,6.37,5.44,4.94,4.44,4.06,3.94,4.01,4.03,3.98,4.05,4.48,5.42,6.19,6.74,7.35,8.31,9.9,12.21,16.14,19.65,25.82,27.81,18.84,-30.76,36.07,301.48,244-4,0.53,F51-5,1.12,F6B-6,1.05,,,FVF5174,,,FVF2666,0,0
L182NN069,73.17,73.21,71.7,71.11,70.71,69.26,71.52,74.54,75.31,74.81,74.28,72.87,71.47,71.23,71.07,70.47,69.88,70.5,71.62,72.08,72.59,72.89,72.68,72.42,72.55,74.25,78.29,82.21,85.81,87.92,90.11,87.54,-0.48,-0.05,0.49,185.92,122,0.0055,142,0.008,162,0.0083,,,FVF5216,,,FVF2184,0,0
L182NN070,64.86,65.7,65.24,63.1,59.79,55.61,51.66,48.47,44.24,41.28,39.9,37.48,35.37,36.06,37.79,37.85,37.23,42.34,51.83,61.48,68.32,71.32,71.3,70.59,70.8,72.11,76.75,81.72,86.13,87.69,89.69,74.16,26.47,-8.09,27.68,343.0,142,0.155,162,0.0085,,,,,FVF4844,,,FVF2184,0,0
L182NN073,22.34,20.5,19.67,19.02,18.61,18.19,18.05,17.97,17.91,17.84,17.72,17.56,17.39,17.11,16.88,16.73,16.49,16.05,15.4,14.97,14.89,14.83,14.69,14.68,15.05,16.76,20.47,25.49,32.54,37.56,45.17,47.69,-1.26,-4.01,4.21,252.52,228-1,0.18,244-4,0.12,264-1,0.22,,,FVF2775,*,,FVF2666,0,0
L182NN074,26.85,27.39,28.41,28.69,28.48,27.16,24.79,22.24,19.17,16.31,13.88,11.71,10.04,8.54,7.28,6.22,5.46,4.75,4.2,3.92,3.72,3.65,3.68,3.9,4.47,5.59,7.57,10.44,15.18,19.22,26.06,34.39,6.39,-39.39,39.9,279.21,F51-5,0.36,F6J,0.8,F6B-6,1.7,,,FVF3925,,,FVF2429,0,0
L182NN076,11.18,9.38,8.54,8.0,7.65,7.44,7.17,6.91,6.6,6.27,5.9,5.56,5.21,4.86,4.63,4.35,4.09,3.92,3.78,3.7,3.64,3.62,3.66,3.82,4.11,4.59,5.59,7.23,10.41,13.53,19.29,25.78,0.54,-11.96,11.97,272.58,F2I,0.77,F4I,0.37,F6S,2.0,,,FVF5192,,,FVF2184,0,0
L182NN077,23.17,21.87,21.64,20.76,19.56,18.01,16.15,14.46,12.5,10.72,9.31,8.05,7.13,6.37,5.76,5.23,4.74,4.32,3.95,3.67,3.48,3.38,3.34,3.44,3.68,4.08,5.0,6.49,9.45,12.42,17.93,29.93,6.48,-32.09,32.74,281.42,227-1,0.004,244-4,0.55,F6B-6,3.0,,,FVF5192,,,FVF2184,0,0
L182NN078,66.68,68.92,69.06,68.5,66.99,65.16,63.0,61.06,58.41,55.67,53.21,50.11,47.04,44.65,42.47,40.29,38.39,36.85,35.27,34.16,34.18,34.13,33.6,32.59,32.76,35.48,42.46,52.15,63.94,70.49,78.24,71.16,-1.52,-22.1,22.15,266.08,142,0.03,162,0.142,,,,,FVF2184,,,FVF2184,0,0
L182NN084,56.0,54.87,51.08,49.05,48.27,45.59,48.91,54.26,55.86,55.43,54.64,52.58,50.46,50.23,50.19,49.38,48.45,49.49,51.05,51.83,52.6,53.02,52.33,51.34,51.44,54.06,60.32,67.65,75.13,79.18,83.82,76.82,-0.05,1.24,1.24,92.45,122,0.037000000000000005,142,0.045,162,0.038,,,FVF4244,,,FVF2184,0,0
L182NN086,41.08,37.52,31.99,29.55,28.92,26.4,30.96,39.12,44.64,46.02,46.17,44.7,43.0,43.38,44.46,44.01,43.15,45.96,50.1,52.93,54.69,55.37,54.7,53.65,53.68,56.25,62.4,69.31,76.28,80.05,84.35,73.9,1.97,16.95,17.07,83.37,122,0.17,142,0.0815,162,0.0315,,,FVF4244,,,FVF2184,0,0
L182NN087,68.81,70.79,70.82,69.23,66.72,63.23,60.16,57.63,53.79,50.96,49.43,46.82,44.69,44.83,45.57,45.11,44.26,47.25,51.54,54.35,56.09,56.76,55.98,54.76,54.67,57.3,63.93,72.01,80.2,84.19,88.45,75.88,12.5,-12.48,17.66,315.03,142,0.06,162,0.022,122,0.0006,,,FVF2429,*,,FVF2429,0,0
L182NN088,29.49,28.71,27.84,27.51,27.72,28.33,32.49,38.09,44.34,47.83,46.83,43.43,39.36,35.15,31.21,27.28,23.78,20.74,18.07,15.78,13.69,11.76,10.18,9.03,8.23,7.72,7.22,6.86,6.63,6.77,7.6,59.24,-33.01,-7.59,33.87,192.94,227-1,0.065,261-8,1.1,,,,,FVF3073,*,,FVF2184,0,0
L182NN089,21.48,20.17,20.17,19.77,19.14,18.15,17.02,15.74,13.86,11.88,10.2,8.64,7.49,6.49,5.71,4.97,4.41,3.95,3.55,3.29,3.13,3.05,3.02,3.1,3.26,3.66,4.36,5.67,8.42,11.31,16.86,30.2,3.66,-32.44,32.64,276.44,227-1,0.03,F6B-6,3.0,244-4,0.25,,,FVF3073,,,FVF2184,0,0
L182NN092,7.4,5.19,4.36,3.95,3.59,3.35,3.17,3.08,3.03,3.01,3.02,3.04,3.1,3.27,3.58,3.99,4.88,6.77,10.31,16.04,24.02,31.65,36.51,39.29,41.35,43.87,48.56,53.96,60.47,64.34,70.12,38.05,43.89,27.85,51.98,32.4,432,1.51,F4S-5,2.5,264-1,0.043,,,FVF5073,,,FVF2184,0,0
L182NN094,6.99,4.99,4.09,4.02,4.12,4.55,5.88,8.57,15.09,21.77,22.88,21.16,18.85,16.5,14.38,12.35,10.62,9.12,7.92,7.02,6.33,5.8,5.48,5.35,5.42,5.7,6.18,6.69,7.46,8.22,9.83,41.5,-35.06,16.44,38.72,154.88,322-6,1.23,F6B-6,1.34,F6C-5,1.43,,,FVF5192,,,FVF2184,0,0
L182NN095,9.56,7.18,6.17,5.79,5.71,5.84,6.35,7.03,8.34,9.41,9.76,9.83,9.6,9.18,8.63,7.88,7.03,6.18,5.58,5.17,4.81,4.61,4.57,4.91,6.02,8.25,12.43,18.47,27.48,34.08,43.65,32.76,-11.55,3.42,12.04,163.52,322-6,0.35,432,0.75,F6J,1.0,,,FVF5192,,,FVF2184,0,0
L182NN096,28.36,28.6,29.61,29.98,29.71,28.24,25.7,22.96,19.69,16.65,14.15,11.85,10.06,8.52,7.27,6.17,5.29,4.58,4.07,3.77,3.56,3.45,3.44,3.63,4.15,5.21,7.15,10.02,14.88,18.99,25.86,34.39,6.89,-40.98,41.56,279.54,F51-5,0.12,F6B-6,1.3,F6J,0.7,,,FVF5192,,,FVF2184,0,0
L182NN097,59.99,62.51,62.8,61.51,59.59,57.47,54.86,52.72,50.23,47.17,43.69,40.05,36.71,33.18,30.06,27.59,25.7,23.45,21.34,20.11,20.08,20.05,19.36,18.58,18.72,20.97,26.88,35.56,47.76,55.9,67.26,61.92,-3.32,-30.81,30.98,263.86,142,0.01,162,0.35,,,,,FVF5192,,,FVF2184,0,0
L182NN098,20.82,19.92,19.86,18.52,16.57,14.37,11.99,10.04,8.21,6.67,5.48,4.63,4.17,3.71,3.46,3.31,3.34,3.32,3.27,3.34,3.7,4.47,5.15,5.67,6.21,7.08,8.54,10.77,14.67,18.16,24.28,25.57,19.25,-31.67,37.06,301.29,F4U-7,0.35,F51-5,2.01,F6B-6,1.63,,,FVF5192,,,FVF2184,0,0
L182NN099,18.54,16.82,15.88,14.9,13.73,12.32,10.95,9.75,8.37,7.09,6.04,5.19,4.62,4.2,3.99,3.82,3.79,3.83,3.97,4.16,4.47,4.77,5.06,5.46,5.92,6.74,8.19,10.38,14.29,17.84,24.09,26.68,13.57,-25.04,28.48,298.46,227-1,0.043,F4I,1.1,F51-5,0.21,F6B-6,1.72,FVF5192,,,FVF2184,0,0
L182NN100,9.38,7.19,6.3,5.6,5.07,4.66,4.35,4.16,3.95,3.76,3.56,3.39,3.25,3.17,3.21,3.27,3.47,3.83,4.56,5.63,7.03,8.58,9.96,11.54,13.56,16.33,19.98,23.71,27.47,29.58,32.86,26.25,20.46,0.16,20.46,0.44,432,0.935,F4I,1.848,461-9,0.528,,,FVF5192,,,FVF2184,0,0
L182NN101,10.65,8.22,7.05,6.08,5.3,4.65,4.05,3.66,3.33,3.07,2.92,2.85,2.85,2.94,3.13,3.47,4.2,5.81,8.61,12.65,17.47,21.04,22.62,23.37,24.29,26.15,30.29,35.58,42.6,47.29,54.69,33.1,35.79,12.09,37.78,18.67,F2I,1.06,F4S-5,2.8,264-1,0.175,,,FVF5192,,,FVF2184,0,0
L182NN102,10.15,8.0,6.92,6.18,5.58,5.09,4.69,4.4,4.12,3.9,3.65,3.45,3.3,3.23,3.29,3.39,3.69,4.15,5.2,6.86,9.51,13.22,17.18,21.06,24.57,28.28,33.31,39.3,46.9,51.8,58.68,29.74,30.67,4.19,30.96,7.78,432,0.8,F4I,2.0,264-1,0.098,,,FVF5192,*,,FVF2184,0,0
L182NN104,5.5,3.61,3.15,2.96,2.92,3.07,3.54,4.3,6.36,8.29,9.28,10.19,11.79,14.17,17.01,20.64,25.54,34.1,46.17,60.01,72.95,80.89,84.55,86.54,87.51,87.7,88.16,88.14,88.07,88.02,88.55,63.68,44.18,69.1,82.01,57.4,322-6,1.62,F24-3,0.3,F4X-9,0.38,,,FVF5192,,,FVF2184,0,0
L182NN107,10.61,8.66,7.35,6.0,4.87,4.09,3.57,3.31,3.11,3.01,3.02,3.12,3.44,3.93,4.62,5.51,6.98,10.44,16.73,26.97,41.97,58.07,70.68,80.29,86.13,88.08,89.43,88.94,87.87,87.13,88.19,48.34,59.64,39.83,71.72,33.73,322-6,0.13,F24-3,1.12,F4S-5,1.65,,,FVF5135,*,,FVF2429,0,0
L182NN119,71.3,72.51,70.81,70.19,69.75,68.33,70.41,73.41,74.25,73.9,73.45,72.19,70.81,70.42,70.26,69.51,68.71,69.19,70.06,70.31,70.62,70.82,70.72,70.6,70.74,72.21,75.65,79.34,82.35,83.42,84.6,87.32,-0.48,-0.12,0.49,193.6,122,0.0055,142,0.0074,162,0.008,,,FVF2184,,,FVF2184,0,0
L182NN124,20.92,19.88,19.34,18.62,17.66,16.32,14.87,13.42,11.53,9.73,8.29,7.05,6.15,5.48,5.0,4.65,4.32,4.12,3.97,3.89,3.85,3.84,3.85,3.99,4.24,4.67,5.59,7.14,10.29,13.53,19.58,28.81,8.77,-30.49,31.73,286.05,227-1,0.042,F4I,0.81,F6B-6,3.3,,,FVF4000,,,FVF2184,0,0
L182NN125,9.01,7.02,6.18,4.91,3.98,3.42,3.12,2.97,2.89,2.89,2.97,3.11,3.57,4.42,5.68,7.13,9.05,12.92,19.46,29.44,43.64,59.31,71.98,81.45,86.93,88.68,89.62,88.59,87.2,87.04,88.73,49.78,57.84,46.01,73.9,38.5,F24-3,2.25,F4S-5,1.57,,,,,FVF4000,,,FVF2184,0,0
L182NN126,4.74,3.21,3.01,2.84,2.78,2.85,3.04,3.29,3.82,4.17,4.45,4.63,4.87,5.28,5.87,6.86,8.45,11.73,17.14,25.05,35.59,46.87,56.43,64.9,71.62,76.31,80.16,82.42,84.27,85.01,86.64,46.91,49.53,45.41,67.2,42.51,327,1.52,F2I,1.47,F4S-5,0.9,,,FVF4844,,,FVF2184,0,0
L182PG002,5.62,3.86,3.4,3.16,3.02,2.94,2.93,2.99,3.11,3.27,3.46,3.61,3.77,3.92,4.06,4.18,4.27,4.31,4.4,4.46,4.53,4.61,4.69,4.89,5.23,5.76,6.86,8.62,11.92,15.13,20.99,24.07,2.83,6.27,6.88,65.67,432,1.6,F4I,0.3,F6S,0.953,,,FVF4227,*,,FVF2184,0,0
L182PG003,15.32,12.75,11.25,10.49,9.97,9.77,9.82,10.0,10.72,11.72,12.67,13.46,14.24,14.89,15.52,16.06,16.36,16.35,16.13,15.94,15.96,16.03,16.01,16.06,16.62,18.39,22.15,27.34,34.62,39.96,47.97,45.74,0.84,12.4,12.43,86.11,432,0.34,244-4,0.07,264-1,0.185,,,FVF4227,,,FVF2184,0,0
L183NF010,26.14,24.43,22.77,21.97,21.39,21.02,21.62,22.43,22.61,22.33,21.18,19.69,18.26,16.88,15.7,14.54,13.46,12.48,11.7,11.11,10.6,10.21,10.04,10.32,11.52,13.67,16.83,20.1,23.41,25.24,28.24,45.93,-7.09,-13.61,15.34,242.47,227-1,0.066,244-4,0.046,461-9,0.75,,,FVF2929,,,FVF2429,0,0
L183NF011,9.52,6.93,5.83,5.5,5.62,6.05,7.34,9.59,14.02,18.24,20.79,22.87,24.95,27.29,29.72,32.32,34.35,35.63,36.22,36.59,37.12,37.59,37.66,37.81,38.6,40.98,45.67,51.68,59.2,63.93,70.34,61.64,2.34,47.04,47.1,87.15,322-6,0.58,228-9,0.45,264-1,0.045,,,FVF2929,,,FVF2429,0,0
L183NF012,14.58,12.6,11.27,9.23,7.46,6.18,5.31,4.93,4.85,4.93,5.45,6.36,8.52,12.57,17.83,23.76,29.83,38.86,50.69,63.3,74.0,79.82,82.43,83.89,84.76,85.13,85.61,85.82,86.04,86.16,86.94,64.23,46.45,56.29,72.98,50.47,F24-3,0.913,F4X-9,0.25,,,,,FVF2929,,,FVF2429,0,0
L183NF013,6.23,4.87,4.62,4.47,4.51,4.76,5.33,6.14,7.33,7.87,7.72,7.16,6.46,5.74,5.11,4.48,4.0,3.61,3.29,3.1,2.97,2.92,2.91,2.99,3.15,3.51,4.16,5.33,7.72,10.2,14.93,26.1,-12.53,-2.66,12.81,191.99,327,0.763,228-1,0.237,F6S,3.0,,,FVF2929,,,FVF2429,0,0
L183NF014,20.99,17.58,15.02,13.17,11.7,10.44,9.34,8.59,7.85,7.19,6.78,6.61,6.71,7.11,8.19,10.42,14.35,22.13,33.77,48.59,65.48,78.57,85.68,89.59,91.27,91.26,91.15,90.46,89.71,89.14,89.88,58.7,57.11,32.74,65.83,29.82,322-6,0.125,F4X-9,1.23,,,,,FVF2929,,,FVF2429,0,0
L183NF015,49.0,46.86,42.13,39.94,39.34,36.87,41.72,50.32,56.14,57.37,56.91,54.99,52.71,51.32,50.0,48.23,46.67,45.8,44.84,44.19,44.25,44.37,43.54,42.49,42.7,45.52,52.39,61.55,72.13,77.58,83.5,75.2,-9.59,5.46,11.03,150.33,122,0.065,142,0.023,162,0.055,,,FVF2929,,,FVF2429,0,0
L183NF017,25.51,26.55,28.21,28.92,28.46,26.51,23.44,20.38,16.89,13.82,11.41,9.29,7.65,6.32,5.3,4.39,3.67,3.2,2.83,2.65,2.51,2.44,2.44,2.59,2.88,3.67,5.41,8.3,13.38,17.74,24.71,30.41,11.69,-44.66,46.17,284.67,F6B-6,0.86,F6J,1.7,,,,,FVF2929,,,FVF2429,0,0
L183NF032,13.69,11.25,9.89,9.01,8.51,8.41,8.6,9.0,9.77,10.85,11.82,12.56,13.18,13.61,13.84,13.9,13.6,12.97,12.4,11.93,11.46,11.09,10.91,11.26,12.64,15.19,18.85,22.75,26.68,28.79,32.16,42.08,-4.36,10.08,10.98,113.41,227-1,0.047,432,0.61,461-9,0.66,,,FVF2184,,,FVF2184,0,0
L183NF033,65.24,64.03,60.09,57.85,56.96,54.04,57.09,61.94,62.96,62.2,61.56,59.6,57.63,58.5,60.39,60.51,60.1,65.22,73.89,81.06,85.04,86.44,86.71,86.82,86.77,86.86,87.01,87.15,87.31,87.37,87.79,85.52,12.18,7.95,14.54,33.12,122,0.019,142,0.038,,,,,FVF2184,,,FVF2184,0,0
L183NN001,47.3,43.92,37.82,35.12,34.63,32.05,38.06,50.24,62.56,69.78,73.9,76.65,78.24,79.1,79.41,79.48,79.36,78.99,78.45,78.09,78.14,78.18,78.06,77.88,78.01,79.32,81.87,84.42,86.57,87.4,88.23,89.8,-9.88,32.77,34.23,106.77,122,0.118,162,0.003,,,,,FVF2184,,,FVF2184,0,0
L183NN006,5.63,3.76,3.21,3.06,3.1,3.38,4.09,5.35,8.02,10.1,10.09,9.68,8.89,8.06,7.25,6.44,5.72,5.07,4.57,4.22,3.92,3.75,3.66,3.71,3.84,4.2,4.85,5.93,8.05,10.2,14.31,30.23,-19.81,8.84,21.7,155.96,322-6,0.86,228-9,0.105,F6S,1.4,,,F15K0456,*,,FVF2666,0,0
L183NN007,51.8,50.06,45.03,42.34,41.27,38.22,41.11,45.88,46.96,45.66,44.34,41.93,39.6,38.96,38.68,37.62,36.3,36.93,37.74,38.03,38.53,38.79,37.94,36.82,36.93,39.62,46.59,56.02,67.31,73.53,80.98,68.99,-0.84,-3.82,3.91,257.65,122,0.054000000000000006,142,0.08199999999999999,162,0.087,,,FVF3863,,,FVF2666,0,0
L183NN012,30.51,28.35,26.82,26.13,26.05,26.21,27.55,29.46,31.88,34.19,36.66,39.45,42.81,46.66,51.03,56.07,60.95,65.63,69.86,73.35,76.3,78.63,80.36,81.69,82.77,84.06,85.15,86.05,87.02,87.48,88.02,79.96,14.06,34.49,37.24,67.82,227-1,0.022,228-1,0.12,,,,,FVF4948,,,FVF2429,0,0
L183NN013,36.51,37.86,38.99,38.2,35.42,31.96,27.89,24.44,21.06,18.07,15.39,13.32,12.11,10.68,9.32,8.81,8.88,8.82,8.27,8.22,9.58,11.85,13.73,15.6,18.32,22.59,29.23,37.33,47.65,53.96,61.82,41.59,20.04,-35.18,40.49,299.67,F51-5,0.9,F6J,0.189,,,,,FVF4948,,,FVF2429,0,0
L183NN015,11.84,10.37,9.81,9.46,9.12,8.71,8.16,7.57,6.83,6.0,5.33,4.67,4.15,3.69,3.38,3.07,2.8,2.62,2.48,2.42,2.36,2.35,2.36,2.43,2.57,2.88,3.41,4.36,6.45,8.71,12.99,22.41,3.11,-21.36,21.58,278.28,228-1,0.061,F4I,0.28300000000000003,F6S,2.55,,,FVF4632,,,FVF2666,0,0
L183NN016,12.19,9.95,8.58,6.84,5.38,4.28,3.53,3.12,2.8,2.61,2.51,2.49,2.57,2.74,3.04,3.46,4.35,6.73,11.32,19.17,31.78,47.47,61.64,73.88,81.96,85.44,88.15,88.08,87.41,86.73,88.38,43.82,60.76,30.7,68.08,26.8,F24-3,0.4,F4S-5,2.1,,,,,FVF4632,,,FVF2666,0,0
L183NN017,9.33,7.59,6.52,5.17,4.06,3.36,2.86,2.64,2.5,2.43,2.47,2.58,2.85,3.32,3.88,4.69,5.96,8.86,14.08,22.42,35.17,50.29,63.25,73.71,80.35,82.98,84.91,84.95,84.3,83.97,85.55,45.46,58.45,39.01,70.27,33.72,F24-3,1.0,F4S-5,1.52,,,,,FVF4632,*,,FVF2666,0,0
L183NN032,36.58,38.4,39.67,40.11,40.08,39.06,37.65,35.49,31.59,27.33,23.51,19.81,16.78,14.18,12.07,10.13,8.46,7.15,6.21,5.56,5.05,4.65,4.47,4.55,4.98,5.79,6.84,7.7,8.39,8.96,10.33,42.57,-0.77,-42.7,42.71,268.97,261-8,0.88,F6J,0.73,227-1,0.02,,,FVF5285,,,FVF2666,0,0
L183NN033,9.9,8.26,7.89,7.53,7.22,6.83,6.34,5.81,5.13,4.45,3.86,3.36,2.96,2.61,2.42,2.2,2.04,1.91,1.84,1.8,1.78,1.78,1.8,1.87,1.96,2.15,2.53,3.15,4.64,6.36,9.82,18.66,4.55,-20.93,21.42,282.25,227-1,0.012,F4I,0.4,F6S,2.8,,,FVF5275,,,FVF2666,0,0
L183NN037,27.97,28.91,29.6,29.66,28.64,26.62,24.1,21.76,18.88,16.18,13.95,11.82,10.17,8.74,7.6,6.51,5.57,4.76,4.19,3.85,3.53,3.33,3.25,3.42,4.03,5.5,8.44,13.16,20.92,26.96,35.97,34.47,5.94,-39.19,39.64,278.62,227-1,0.006,244-4,0.11,F6J,0.945,,,F15K0456,*,,FVF2666,0,0
L183BB037,28.23,29.1,29.75,29.8,28.76,26.71,24.18,21.78,18.9,16.16,13.91,11.83,10.12,8.7,7.56,6.48,5.54,4.72,4.17,3.81,3.49,3.3,3.22,3.38,3.99,5.46,8.42,13.13,20.9,26.92,35.86,34.13,7.08,-40.28,40.9,279.97,227-1,0.005,244-4,0.118,F6J,0.95,,,F15K0456,,,FVF2666,0,0
L183NN040,8.44,6.46,5.63,5.07,4.55,4.21,3.91,3.72,3.52,3.38,3.23,3.08,2.94,2.87,2.91,2.96,3.12,3.46,4.11,5.07,6.48,8.19,9.75,10.99,12.22,14.1,17.52,21.97,27.97,32.04,37.94,25.02,20.39,0.59,20.4,1.65,432,0.77,F4I,1.42,264-1,0.28,,,F15K0456,,,FVF2666,0,0
L183NN041,8.9,7.12,6.2,5.5,4.85,4.41,4.04,3.76,3.49,3.28,3.08,2.92,2.78,2.71,2.75,2.81,3.0,3.44,4.27,5.68,7.98,11.33,15.19,19.3,23.13,27.02,31.91,37.47,44.24,48.44,54.19,27.54,30.8,3.79,31.03,7.02,432,0.627,F4I,1.75,264-1,0.069,,,F15K0456,,,FVF2666,0,0
L183NN042,10.12,7.42,6.17,5.53,5.39,5.48,5.91,6.82,8.58,10.19,11.57,13.54,17.61,25.46,37.08,51.3,62.47,68.61,72.29,74.62,76.32,77.7,78.76,79.74,80.52,81.44,82.2,82.93,83.74,84.15,84.74,74.16,26.39,74.8,79.32,70.57,322-6,0.388,F24-3,0.29,,,,,F15K0456,,,FVF2666,0,0
L183NN043,33.28,31.68,30.4,29.95,29.89,30.1,31.51,33.49,35.88,38.05,40.19,42.38,44.83,47.29,49.68,52.06,53.78,54.59,54.8,54.98,55.36,55.72,55.82,56.0,56.82,59.1,63.21,67.87,73.15,75.96,79.67,75.75,2.08,21.54,21.64,84.48,227-1,0.013,228-1,0.06,264-1,0.008,,,F15K0456,,,FVF2666,0,0
L183NN044,9.06,6.33,5.07,4.41,4.03,3.76,3.6,3.52,3.42,3.28,3.13,3.07,3.13,3.38,3.98,5.32,7.96,13.9,23.42,35.88,50.4,62.66,70.39,75.86,79.22,80.52,82.07,82.51,82.85,83.07,84.65,50.25,58.52,46.14,74.52,38.25,322-6,0.43,F4X-9,2.1,,,,,F15K0456,,,FVF2666,0,0
L183NN045,28.3,28.31,29.18,29.66,29.7,28.79,26.66,24.07,20.71,17.5,14.77,12.32,10.48,8.82,7.46,6.33,5.58,4.87,4.31,4.01,3.82,3.76,3.78,3.93,4.27,4.83,6.0,7.89,11.55,15.09,21.53,35.06,5.83,-40.56,40.97,278.19,F51-5,0.22,F6B-6,2.25,F6J,0.08,,,FVF5073,,,FVF2184,0,0
L183NN047,6.37,4.56,3.78,3.46,3.38,3.47,3.79,4.44,5.83,7.21,8.27,9.8,13.02,18.6,24.37,27.48,26.99,24.99,23.07,21.82,21.36,21.13,20.71,20.54,20.85,22.77,26.98,32.67,40.25,45.32,52.76,51.15,-0.77,45.99,46.0,90.96,F24-3,0.56,322-6,1.07,264-1,0.18,,,FVF5166,*,,FVF2666,0,0
L183NN048,10.22,7.31,5.88,5.23,4.9,4.71,4.68,4.74,4.78,4.68,4.43,4.32,4.36,4.72,5.37,6.96,9.98,16.92,28.23,43.08,59.14,71.04,77.58,81.87,84.31,85.07,86.13,86.26,86.18,85.94,87.13,53.8,58.18,46.81,74.68,38.82,322-6,0.6,F4X-9,2.05,,,,,FVF5166,,,FVF2666,0,0
L183NN052,31.02,32.19,34.12,34.48,33.21,30.5,26.84,23.55,20.03,16.91,14.37,12.11,10.35,8.83,7.56,6.45,5.63,4.87,4.31,4.02,3.79,3.69,3.7,3.99,4.89,6.77,10.39,15.7,23.81,29.88,38.92,35.22,10.3,-43.13,44.34,283.43,F51-5,0.3,F6J,1.43,,,,,FVF3925,,,FVF2429,0,0
L183NN053,7.09,5.09,4.29,3.77,3.48,3.29,3.2,3.19,3.29,3.43,3.55,3.61,3.65,3.74,3.9,4.1,4.47,5.02,5.94,7.18,8.71,10.22,11.52,12.93,14.82,17.48,21.07,24.8,28.54,30.66,34.09,30.28,18.44,10.98,21.47,30.77,432,1.93,F4I,1.02,461-9,0.417,,,FVF5166,,,FVF2666,0,0
L183NN055,24.55,21.17,18.09,15.2,12.69,10.46,8.78,7.63,6.64,5.85,5.51,5.33,5.36,5.75,6.45,8.1,11.05,17.3,27.02,39.89,55.09,68.42,77.13,82.59,85.51,86.36,87.16,87.16,87.03,86.78,87.51,54.18,58.54,25.12,63.7,23.23,227-1,0.028,244-4,0.4,F4X-9,1.13,,,FVF5192,,,FVF2184,0,0
