LAB,400nm,410nm,420nm,430nm,440nm,450nm,460nm,470nm,480nm,490nm,500nm,510nm,520nm,530nm,540nm,550nm,560nm,570nm,580nm,590nm,600nm,610nm,620nm,630nm,640nm,650nm,660nm,670nm,680nm,690nm,700nm,L,a,b,C,H,染料_1,濃度_1,染料_2,濃度_2,染料_3,濃度_3,染料_4,濃度_4,布號,標記,標準色片,單色光,revised,abort
L181NN008,5.5,3.46,2.95,2.86,2.88,3.11,3.77,5.01,7.77,9.97,9.92,9.43,8.59,7.73,6.95,6.19,5.52,4.95,4.56,4.29,4.08,3.97,3.93,4.06,4.33,5.0,6.2,8.01,11.29,14.39,19.91,29.98,-18.13,9.81,20.62,151.6,228-9,0.046,322-6,1.51,F6S,2.05,,,FVF4948,,,FVF2429,0,0
L181NN014,46.69,45.45,41.61,39.56,38.84,36.23,38.98,43.39,44.21,42.88,41.58,39.25,37.01,36.42,36.22,35.2,34.01,34.76,35.87,36.33,36.9,37.27,36.98,36.37,36.59,39.06,45.42,53.88,63.63,69.1,75.73,67.39,0.18,-3.53,3.54,272.86,122,0.065,142,0.097,162,0.112,,,FVF4084,,,FVF2184,1,0
L181NN027,21.73,20.74,20.3,19.71,19.03,18.03,16.94,15.71,13.84,11.9,10.2,8.66,7.49,6.51,5.78,5.06,4.51,4.05,3.67,3.41,3.23,3.14,3.11,3.2,3.37,3.76,4.49,5.87,8.78,11.88,17.9,30.1,3.79,-32.02,32.25,276.75,227-1,0.038,244-4,0.35,F6B-6,3.0,,,FVF4244,,,FVF2184,0,0
L181NN030,40.53,39.16,37.49,35.64,33.2,30.48,27.62,25.28,22.79,20.55,18.76,17.21,16.14,15.54,15.47,15.66,16.51,18.47,21.53,25.71,31.43,38.81,46.69,55.33,63.25,69.99,75.08,77.97,80.26,82.3,84.5,55.26,33.83,-10.75,35.5,342.37,F4I,0.3,,,,,,,FVF4244,,,FVF2184,0,0
L181NN051,8.75,7.0,6.44,5.97,5.66,5.38,5.14,4.96,4.77,4.57,4.27,3.95,3.61,3.31,3.1,2.88,2.68,2.52,2.4,2.35,2.33,2.33,2.35,2.47,2.67,3.14,3.96,5.32,8.05,10.79,15.88,20.69,0.51,-12.38,12.39,272.36,432,0.48,F4I,0.4370000000000001,F6S,2.2,,,FVF5174,,,FVF2666,0,0
L181NN053,9.52,7.28,6.26,5.68,5.07,4.71,4.35,4.1,3.86,3.66,3.43,3.25,3.1,3.02,3.06,3.11,3.3,3.65,4.36,5.42,6.87,8.49,9.95,11.55,13.57,16.35,19.93,23.65,27.47,29.61,33.03,25.84,21.17,-0.51,21.18,358.61,432,0.87,F4I,1.9,461-9,0.46,,,FVF4948,,,FVF2429,0,0
L181NN054,9.29,7.39,6.39,5.65,5.09,4.61,4.23,3.96,3.68,3.45,3.22,3.03,2.88,2.82,2.85,2.91,3.09,3.52,4.38,5.84,8.17,11.54,15.19,18.89,22.27,25.95,31.04,37.22,45.03,50.0,56.7,27.78,30.2,3.18,30.371,6.02,432,0.88,F4I,2.25,264-1,0.1,,,FVF4948,,,FVF2429,0,0
L181NN064,23.42,21.62,20.7,20.07,19.7,19.29,19.11,19.04,18.98,18.9,18.76,18.58,18.38,18.04,17.78,17.62,17.4,16.93,16.25,15.81,15.73,15.66,15.49,15.45,15.77,17.44,21.11,26.15,33.04,37.89,45.16,48.84,-1.39,-4.19,4.42,251.69,228-1,0.17600000000000002,244-4,0.115,264-1,0.202,,,FVF4832,,,FVF2666,0,0
L181NN083,56.22,55.86,51.89,49.76,48.72,45.63,47.98,51.63,51.44,49.78,48.82,46.66,44.75,45.6,47.57,47.76,47.25,52.84,63.33,74.31,82.39,86.14,87.47,87.88,87.92,88.13,88.54,87.65,87.3,88.34,89.86,80.23,20.84,8.12,22.37,21.3,122,0.035,142,0.009000000000000001,,,,,FVF4244,,,FVF2184,0,0
L181NN089,12.19,9.78,8.58,8.14,8.31,9.3,11.65,16.14,26.18,36.22,37.95,35.16,31.17,26.85,22.72,18.75,15.37,12.66,10.46,8.73,7.32,6.13,5.28,4.83,4.58,4.46,4.35,4.25,4.2,4.37,4.92,50.24,-48.25,12.19,49.76,165.82,261-8,0.63,322-6,0.58,F6C-5,2.79,,,FVF5285,,,FVF2666,0,0
L181NN097,49.44,48.08,45.99,43.73,40.71,37.39,33.81,30.79,27.51,24.54,22.23,20.24,18.82,17.93,17.65,17.8,18.63,20.72,24.1,28.84,35.36,43.8,52.56,61.61,69.64,76.2,81.13,84.49,87.0,88.09,89.18,58.46,35.08,-14.48,37.95,337.57,F4I,0.3,,,,,,,FVF5285,,,FVF2666,0,0
L181NN112,13.69,12.16,11.58,11.18,10.79,10.3,9.68,8.96,8.07,7.15,6.34,5.6,5.01,4.5,4.15,3.8,3.52,3.32,3.16,3.07,3.02,3.0,3.02,3.09,3.22,3.51,4.0,5.0,7.31,9.92,15.11,26.58,3.43,-22.62,22.88,278.63,F4U-7,0.28,F6B-6,0.93,F6S,2.45,,,FVF4559,,,FVF2184,0,0
L181NN115,10.04,8.16,7.42,6.96,6.61,6.33,6.07,5.85,5.62,5.36,5.05,4.71,4.36,4.05,3.82,3.59,3.37,3.23,3.11,3.05,3.02,3.02,3.04,3.18,3.38,3.82,4.56,5.84,8.43,11.09,16.14,23.33,0.64,-11.97,11.99,273.08,432,0.44,F4I,0.44,F6S,2.1,,,FVF5192,*,,FVF2184,0,0
L181NN134,55.39,58.32,60.01,61.36,63.02,64.92,67.3,68.75,68.9,67.64,65.36,62.12,58.49,54.49,50.52,46.56,42.91,39.41,36.29,33.52,30.96,28.43,26.18,24.41,23.22,22.44,21.7,21.11,20.84,20.98,22.87,73.95,-18.26,-17.97,25.62,224.54,227-1,0.002,264-1,0.011,261-8,0.26,,,FVF4244,*,,FVF2184,0,0
L182NN003,11.71,10.16,9.58,9.14,8.81,8.42,7.93,7.35,6.61,5.82,5.11,4.47,3.94,3.51,3.24,2.97,2.74,2.58,2.45,2.38,2.35,2.34,2.36,2.42,2.52,2.7,3.13,3.88,5.79,8.06,12.78,22.0,3.43,-21.16,21.43,279.21,227-1,0.0148,F4I,0.385,F6S,3.5,,,FVF4844,,,FVF2184,0,0
L182NN004,6.32,4.31,3.76,3.46,3.41,3.5,3.81,4.45,5.87,7.29,8.49,10.12,13.49,19.04,24.48,27.19,26.64,24.78,23.04,21.92,21.64,21.48,21.25,21.23,21.68,23.69,28.03,33.87,41.74,46.97,54.49,51.3,-0.54,46.11,46.11,90.67,322-6,1.19,264-1,0.19,F24-3,0.64,,,FVF2184,,,FVF2184,0,0
L182NN005,29.74,29.01,28.21,27.92,28.14,28.81,33.11,38.81,44.94,48.16,47.07,43.72,39.7,35.54,31.6,27.71,24.19,21.23,18.6,16.37,14.33,12.38,10.76,9.64,8.85,8.31,7.77,7.38,7.19,7.36,8.26,59.66,-32.24,-7.56,33.11,193.2,227-1,0.058,261-8,0.97,,,,,FVF4948,,,FVF2429,0,0
L182NN009,7.35,5.0,4.15,3.91,4.05,4.5,5.87,9.16,19.15,36.58,54.98,67.44,71.82,72.62,72.18,70.96,69.13,66.85,64.45,62.02,59.54,56.92,54.39,52.34,50.87,49.82,48.79,47.87,47.35,47.44,49.25,82.16,-23.48,78.23,81.67,106.71,322-6,1.1,261-8,0.04,,,,,FVF2184,,,FVF2184,0,0
L182NN010,11.63,9.79,8.55,6.67,5.18,4.1,3.42,3.07,2.87,2.76,2.8,2.94,3.28,3.89,4.68,5.73,7.39,11.14,17.91,28.56,43.73,59.46,71.21,79.44,83.9,85.0,85.79,85.22,84.2,83.43,84.37,48.73,59.6,39.65,71.58,33.63,F24-3,1.0,F4S-5,1.45,,,,,FVF5166,,,FVF2666,0,0
L182NN014,7.62,5.55,4.56,4.16,4.03,4.03,4.19,4.37,4.45,4.26,3.74,3.31,3.0,2.82,2.78,2.79,2.91,3.19,3.8,4.76,6.08,7.57,8.97,10.48,12.36,14.96,18.38,21.91,25.53,27.63,31.01,24.74,18.29,0.6,18.3,1.89,461-9,0.49,322-6,0.61,F4I,1.9,,,FVF5166,,,FVF2666,0,0
