400nm,410nm,420nm,430nm,440nm,450nm,460nm,470nm,480nm,490nm,500nm,510nm,520nm,530nm,540nm,550nm,560nm,570nm,580nm,590nm,600nm,610nm,620nm,630nm,640nm,650nm,660nm,670nm,680nm,690nm,700nm,L,a,b,C,H,染料_1,濃度_1,布號,revised,abort
4.01,3.46,3.31,3.25,3.31,3.6,4.46,6.31,11.27,19.62,30.05,40.43,48.68,54.92,59.64,63.77,67.02,69.81,72.41,74.54,76.46,78.04,79.14,80.17,81.06,82.11,83.23,83.98,85.3,85.67,86.28,80.58,5.23,86.84,86.99,86.56,327,1.5,FVF2429,0,0
3.21,2.83,2.7,2.65,2.68,2.88,3.49,4.91,9.04,16.45,26.15,35.93,43.93,50.22,55.16,59.61,63.23,66.46,69.57,72.19,74.55,76.6,78.03,79.32,80.41,81.61,82.74,83.48,84.69,84.97,85.59,78.73,8.16,88.68,89.05,84.74,327,3,FVF2429,0,0
32.04,29.47,27.7,26.87,27.06,28.69,32.22,38.19,51.05,66.26,75.7,79.42,80.65,81.59,82.26,82.83,83.38,83.89,84.76,85.23,85.61,85.79,85.9,86.06,86.31,86.79,87.33,87.63,88.25,88.22,88.4,91.28,-8.98,44.54,45.43,104.4,322-6,0.06,FVF2429,0,0
11.31,9.16,8,7.58,7.69,8.57,10.75,14.91,25.52,41.88,59.09,70.57,75.75,78.25,79.8,81.17,82.2,82.82,83.46,83.97,84.37,84.69,84.93,85.22,85.56,86.14,86.73,87.09,87.77,87.83,88.09,88.87,-8.93,77.18,77.69,96.6,322-6,0.5,FVF2429,0,0
4.6,3.6,3.13,2.98,3,3.39,4.25,6.49,13.9,27.39,43.33,56.01,62.67,65.99,68.04,69.87,71.18,72.17,73.17,73.95,74.62,75.2,75.65,76.34,77.27,78.58,80.08,81.23,83,83.63,84.73,83.28,-5.38,88.19,88.36,93.49,322-6,1.5,FVF2429,0,0
2.86,2.27,2.17,2.1,2.09,2.22,2.53,3.63,8.66,20.2,36.25,51.45,61.49,67.36,70.93,73.74,75.73,77.16,78.48,79.53,80.48,81.21,81.77,82.43,83.03,83.8,84.54,85.04,85.9,86.06,86.43,84.38,-1.44,98.73,98.74,90.84,322-6,3,FVF2429,0,0
39.47,38.16,36.89,35.82,35.05,34.96,35.29,36.11,37.68,40.12,42.71,45.45,48.41,51.8,55.73,60.39,64.94,69.28,73.3,76.57,79.25,81.32,82.64,83.68,84.48,85.36,86.24,86.72,87.64,87.74,88.08,82.39,12.92,27.02,29.95,64.45,432,0.06,FVF2429,0,0
16.54,14.64,13.31,12.38,11.79,11.68,11.87,12.3,13.43,15.13,17.02,19.04,21.26,23.98,27.19,31.17,35.59,40.59,46.12,51.68,57.43,63.11,67.8,71.74,74.86,77.47,79.61,81.09,82.95,83.45,84.21,66.22,26.83,41.46,49.39,57.09,432,0.5,FVF2429,0,0
7.44,6.15,5.38,4.88,4.61,4.51,4.61,4.85,5.4,6.38,7.55,8.87,10.43,12.49,15.03,18.26,21.99,26.31,31.18,36.35,42.07,48.26,54.04,59.75,64.93,69.44,73.18,75.93,78.79,79.83,81.24,55.41,34,49.27,59.86,55.39,432,1.5,FVF2429,0,0
4.52,3.61,3.23,2.97,2.8,2.75,2.81,2.94,3.24,3.76,4.48,5.34,6.42,7.93,9.93,12.59,15.83,19.69,24.17,28.95,34.28,40.19,46.01,51.98,57.75,62.98,67.6,71.27,75.1,76.45,78.36,49.34,37.37,50.17,62.56,53.31,432,3,FVF2429,0,0
55.98,58.5,59.89,60.6,60.68,60.57,60.24,59.68,58.68,57.48,55.9,54.08,52.28,50.29,48.53,47,45.37,43.73,42.39,41.4,40.52,39.69,39.35,39.86,42.03,45.55,50.07,54.58,59.5,61.26,64.72,74.67,-3.99,-12.2,12.84,251.91,461-9,0.06,FVF2429,0,0
34.39,34.64,34.22,33.49,32.6,31.63,30.59,29.59,28.23,26.8,25.22,23.47,21.78,20.2,18.74,17.38,16.1,14.87,13.93,13.25,12.7,12.17,12.05,12.28,13.61,15.94,19.12,22.51,26.4,28.13,31.33,50.02,-3.24,-21.75,22,261.52,461-9,0.5,FVF2429,0,0
24.14,23.92,23.34,22.56,21.75,20.9,19.95,19.08,17.92,16.65,15.32,13.83,12.47,11.22,10.12,9.08,8.17,7.33,6.7,6.29,5.99,5.67,5.6,5.75,6.58,8.08,10.37,12.95,16.25,17.81,20.54,38.05,-2.07,-24.75,24.84,265.21,461-9,1.5,FVF2429,0,0
16.56,16.16,15.65,14.95,14.27,13.56,12.77,12.04,11.1,10.12,9.09,7.98,6.98,6.14,5.42,4.77,4.21,3.76,3.41,3.22,3.07,2.93,2.91,3.03,3.38,4.18,5.49,7.15,9.61,10.89,13.09,28.47,-0.26,-25.32,25.32,270.59,461-9,3,FVF2429,0,0
49.27,51.31,53.51,56.33,58.75,60.44,61.23,61.51,61.08,59.94,58.19,55.62,52.46,48.61,44.98,41.65,38.66,36.04,33.93,32.3,31.14,30.34,30.13,30.16,30.92,32.24,34.26,36.59,41.66,45.01,50.61,71.65,-11.58,-16.65,20.28,235.19,462-9,0.06,FVF2429,0,0
26.08,26.72,28.2,30.68,33.1,34.68,35.02,34.92,33.94,32.43,30.45,27.91,24.99,21.91,19.01,16.38,14.22,12.4,10.99,9.97,9.3,8.89,8.72,8.76,9.22,9.98,11.26,12.79,16.36,18.97,23.29,49.83,-13.65,-24.67,28.19,241.05,462-9,0.5,FVF2429,0,0
16.3,16.77,17.84,19.97,22.2,23.66,23.9,23.71,22.72,21.32,19.51,17.23,14.73,12.21,9.97,8.08,6.64,5.52,4.72,4.22,3.9,3.69,3.64,3.7,3.91,4.3,4.93,5.75,8,9.92,13.2,38,-12.63,-27.71,30.45,245.49,462-9,1.5,FVF2429,0,0
10.81,11.12,11.94,13.72,15.65,16.95,17.2,17.06,16.2,14.94,13.37,11.42,9.38,7.45,5.85,4.58,3.69,3.08,2.68,2.46,2.33,2.24,2.23,2.26,2.36,2.52,2.84,3.27,4.55,5.86,8.22,30.42,-9.88,-27.57,29.28,250.28,462-9,3,FVF2429,0,0
60.08,64.21,67.51,70.1,71.88,73.4,74.88,75.76,76.18,76.25,75.81,74.81,73.35,71.3,68.82,66.09,63.01,59.79,56.73,53.87,51.09,48.43,46.35,45.13,44.89,44.82,44.83,44.51,44.33,44.33,46.66,83.9,-13.21,-7.78,15.33,210.5,F6C-5,0.06,FVF2429,0,0
45.97,50.41,54.48,58.08,61.04,64.19,66.46,66.8,65.94,63.41,60.12,56,51.71,46.96,42.56,38.35,34.41,30.89,27.89,25.32,22.97,20.78,19.15,18.09,17.78,17.63,17.55,17.34,17.16,17.28,18.86,69.16,-19.02,-24.04,30.65,231.65,F6C-5,0.5,FVF2429,0,0
