400nm,410nm,420nm,430nm,440nm,450nm,460nm,470nm,480nm,490nm,500nm,510nm,520nm,530nm,540nm,550nm,560nm,570nm,580nm,590nm,600nm,610nm,620nm,630nm,640nm,650nm,660nm,670nm,680nm,690nm,700nm,L,a,b,C,H,染料_1,濃度_1,布號,revised,abort
13.84,12.84,11.74,10.42,9.03,7.6,6.27,5.28,4.36,3.67,3.17,2.82,2.61,2.5,2.49,2.54,2.7,3.0,3.68,4.97,7.28,11.08,16.14,22.75,30.45,38.79,47.46,55.57,64.73,68.21,72.59,28.39,39.05,-8.09,39.88,348.3,F4I,3.0,FVF2429,0,0
7.2,6.01,5.41,5.07,4.89,4.88,4.99,5.18,5.48,5.93,6.56,7.42,8.57,10.1,12.0,14.44,17.36,20.88,25.03,29.59,34.82,40.84,46.96,53.54,60.12,66.29,71.75,76.02,80.42,82.09,83.94,51.28,34.88,41.31,54.06,49.83,F2I,3.0,FVF2429,0,0
4.66,3.96,3.69,3.55,3.46,3.49,3.63,3.85,4.18,4.69,5.34,6.28,7.58,9.41,11.79,14.93,18.67,23.05,28.03,33.33,39.21,45.67,51.9,58.13,63.89,68.95,73.11,76.26,79.39,80.53,81.96,52.52,37.73,50.97,63.41,53.49,228-1,3.0,FVF2429,0,0
7.87,5.88,4.28,3.64,3.34,3.09,4.51,9.05,17.31,24.71,31.16,37.19,43.03,48.8,54.23,59.38,63.52,66.97,69.82,71.84,73.42,74.71,75.66,76.53,77.38,78.46,79.65,80.56,81.9,82.33,83.1,78.9,6.17,80.0,80.24,85.59,122,3.0,FVF2429,0,0
3.05,2.58,2.4,2.29,2.25,2.35,2.8,4.17,7.98,14.89,23.83,32.23,38.96,44.55,49.47,54.01,57.8,61.03,63.76,66.03,68.07,69.82,71.26,72.61,74.08,75.7,77.26,78.71,80.56,81.28,82.37,75.74,8.67,87.02,87.45,84.31,227-1,3.0,FVF2429,0,0
28.09,29.19,29.29,28.35,26.91,25.36,23.55,22.04,20.4,18.28,15.81,13.41,11.29,9.19,7.51,6.3,5.47,4.59,3.86,3.58,3.49,3.45,3.34,3.21,3.24,3.79,5.52,8.37,16.02,21.32,29.48,34.91,1.06,-37.57,37.59,271.62,162,3.0,FVF2429,0,0
30.11,33.88,38.55,42.97,46.69,50.39,52.33,52.03,49.75,46.33,42.1,37.43,32.74,28.25,24.3,20.57,17.14,14.16,11.87,10.2,8.77,7.37,6.41,6.02,6.12,6.47,6.84,7.04,7.24,7.5,8.59,55.06,-19.83,-33.49,38.92,239.37,F6C-6,3.0,FVF2429,0,0
9.44,8.46,7.59,6.46,5.33,4.34,3.53,3.03,2.66,2.38,2.2,2.1,2.06,2.08,2.18,2.36,2.68,3.48,5.1,7.88,12.31,18.48,25.37,33.15,41.37,49.35,56.67,62.7,68.49,70.3,72.88,31.36,45.78,10.28,46.92,12.66,F4U-7,3.0,FVF2429,0,0
20.85,21.97,23.25,23.67,23.46,22.64,21.07,19.32,17.02,14.76,12.6,10.54,8.8,7.35,6.16,5.14,4.34,3.7,3.27,3.0,2.81,2.65,2.6,2.66,2.97,3.48,4.45,5.57,7.17,7.98,9.61,31.52,2.68,-37.21,37.31,274.12,F6B-7,3.0,FVF2429,0,0
22.42,20.27,17.92,15.26,12.7,10.39,8.46,7.14,5.98,5.17,4.65,4.32,4.21,4.27,4.51,5.06,6.33,9.16,14.53,23.47,37.95,55.85,71.44,85.83,94.64,96.94,99.02,96.84,94.57,92.92,93.64,48.53,62.62,16.18,64.67,14.49,F4A-3,3.0,FVF2429,0,0
6.2,4.45,3.5,2.96,2.68,2.59,2.7,3.07,4.91,7.92,8.57,7.18,6.84,7.09,7.11,7.8,13.84,31.54,58.96,87.62,119.35,140.4,145.95,149.41,143.53,128.99,123.15,113.45,106.47,102.44,103.79,69.25,71.77,82.21,109.13,48.88,224-3,3.0,FVF2429,0,0
30.6,36.4,39.71,37.7,33.0,27.58,22.42,18.02,13.77,10.92,8.5,6.2,5.03,4.8,4.56,4.51,6.11,14.55,33.91,61.91,96.1,121.4,131.82,142.05,142.05,129.54,123.71,112.74,106.08,101.41,104.79,63.62,80.56,8.98,81.06,6.36,243-7,3.0,FVF2429,0,0
33.02,35.27,36.81,37.37,36.2,33.32,29.63,25.88,21.6,18.32,15.1,11.82,9.98,9.51,8.86,8.44,10.17,19.35,36.68,55.15,72.01,86.28,97.37,107.65,109.26,102.84,99.85,93.81,90.42,87.92,89.57,62.06,63.42,-0.67,63.42,359.4,247-1,3.0,FVF2429,0,0
15.69,16.33,16.82,17.44,16.7,14.42,11.54,8.91,6.87,5.69,4.37,3.32,3.23,3.27,3.34,3.54,5.9,14.88,33.27,56.66,82.32,100.9,108.6,114.7,113.85,106.66,105.95,101.39,98.26,94.83,98.03,58.81,73.94,27.69,78.96,20.53,241-1,3.0,FVF2429,0,0
6.3,5.51,4.9,4.3,3.8,3.55,3.43,3.42,3.49,3.56,3.58,3.58,3.62,3.62,3.49,3.26,2.99,2.78,2.64,2.57,2.56,2.57,2.65,2.8,3.2,3.77,4.76,5.93,8.59,10.62,14.11,20.78,-1.26,-3.8,4.01,251.73,C0B,3.0,FVF2429,0,0
4.91,4.56,4.06,3.25,2.64,2.3,2.13,2.04,2.02,2.07,2.21,2.46,3.48,6.55,13.59,24.82,37.22,47.75,55.34,60.68,64.85,67.95,69.89,71.35,72.72,74.0,75.14,75.97,77.46,77.71,78.48,62.42,43.22,75.9,87.35,60.34,F24-3,3.0,FVF2429,0,0
26.62,28.95,29.84,27.99,24.74,21.08,17.27,14.21,11.47,9.26,7.29,5.97,5.3,4.6,3.92,3.84,4.05,4.14,4.14,4.3,6.03,11.51,20.69,32.77,44.26,52.6,58.18,60.29,60.11,59.4,61.08,34.65,43.06,-30.06,52.52,325.08,F51-5,3.0,FVF2429,0,0
